name,lat,lng,sector_label
Christ the King Seminary,42.772212,-78.656594,Private
Christian Brothers University,35.127437,-89.983241,Private
Christian Life College,42.074096,-87.930934,Private
Christian Theological Seminary,39.833199,-86.177759,Private
Christie's Education,40.758871,-73.980819,For-Profit
Christopher Newport University,37.062495,-76.494364,Public
Church Divinity School of the Pacific,37.876169,-122.261391,Private
Cincinnati Christian University,39.112396,-84.554752,Private
Cincinnati College of Mortuary Science,39.207578,-84.505896,Private
Citadel Military College of South Carolina,32.796975,-79.961399,Public
City College-Fort Lauderdale,26.18748,-80.17007,Private
City College-Gainesville,29.65601,-82.4168,Private
City College-Miami,25.683673,-80.316377,Private
City University of Seattle,47.617381,-122.344594,Private
City Vision University,39.07043,-94.571091,Private
Claflin University,33.498444,-80.854319,Private
Claremont Graduate University,34.103778,-117.712394,Private
Claremont Lincoln University,34.09425,-117.718051,Private
Claremont McKenna College,34.102323,-117.706593,Private
Claremont School of Theology,34.107602,-117.715256,Private
Clarion University of Pennsylvania,41.207805,-79.377501,Public
Clark Atlanta University,33.747628,-84.412584,Private
Clark College,45.634307,-122.652976,Public
Clark University,42.251064,-71.823537,Private
Clarke University,42.508619,-90.691512,Private
Clarks Summit University,41.495062,-75.685472,Private
Clarkson College,41.259201,-95.977188,Private
Clarkson University,44.662716,-74.999359,Private
Clayton  State University,33.594079,-84.328174,Public
Clear Creek Baptist Bible College,36.725236,-83.727702,Private
Cleary University,42.586638,-83.879987,Private
Clemson University,34.679381,-82.835114,Public
