"company","streetadd","place","state","zip","address","lon","lat"
"Reinsurance Group of America","1370 Timberlake Manor Pkwy.","Chesterfield","Missouri",63017,"1370 Timberlake Manor Pkwy., Chesterfield, Missouri",-90.528367,38.648273
"Public Service Enterprise Group","80 Park Plaza","Newark","New Jersey",7102,"80 Park Plaza, Newark, New Jersey",-74.1686141,40.7374794
"Cameron International","1333 W. Loop S.","Houston","Texas",77027,"1333 W. Loop S., Houston, Texas",-95.4545613,29.7549365
"Navistar International","2701 Navistar Dr.","Lisle","Illinois",60532,"2701 Navistar Dr., Lisle, Illinois",-88.1077044,41.8099995
"CST Brands","1 Valero Way","San Antonio","Texas",78249,"1 Valero Way, San Antonio, Texas",-98.6057607,29.5869858
"State Street Corp.","1 Lincoln St.","Boston","Massachusetts",2111,"1 Lincoln St., Boston, Massachusetts",-71.0583632,42.3526844
"Unum Group","1 Fountain Sq.","Chattanooga","Tennessee",37402,"1 Fountain Sq., Chattanooga, Tennessee",-85.3068744,35.0504844
"Hilton Worldwide Holdings","7930 Jones Branch Dr.","McLean","Virginia",22102,"7930 Jones Branch Dr., McLean, Virginia",-77.2151232,38.9280922
"Family Dollar Stores","10401 Monroe Rd.","Matthews","North Carolina",28105,"10401 Monroe Rd., Matthews, North Carolina",-80.7314893,35.1316103
"Principal Financial","711 High St.","Des Moines","Iowa",50392,"711 High St., Des Moines, Iowa",-93.6276157,41.5882758
"Reliance Steel & Aluminum","350 S. Grand Ave.","Los Angeles","California",90071,"350 S. Grand Ave., Los Angeles, California",-118.2799128,34.0094243
"Air Products & Chemicals","7201 Hamilton Blvd.","Allentown","Pennsylvania",18195,"7201 Hamilton Blvd., Allentown, Pennsylvania",-75.5987118,40.5525025
"Assurant","1 Chase Manhattan Plaza","New York","New York",10005,"1 Chase Manhattan Plaza, New York, New York",-74.0088936,40.7078306
"Peter Kiewit Sons'","1000 Kiewit Plaza","Omaha","Nebraska",68131,"1000 Kiewit Plaza, Omaha, Nebraska",-95.9656289,41.2574609
"Henry Schein","135 Duryea Rd.","Melville","New York",11747,"135 Duryea Rd., Melville, New York",-73.4175607,40.7677851
"Cognizant Technology Solutions","500 Frank W. Burr Blvd.","Teaneck","New Jersey",7666,"500 Frank W. Burr Blvd., Teaneck, New Jersey",-74.0060059,40.8732679
"MGM Resorts International","3600 Las Vegas Blvd. S.","Las Vegas","Nevada",89109,"3600 Las Vegas Blvd. S., Las Vegas, Nevada",-115.175947,36.1125269
"W.W. Grainger","100 Grainger Pkwy.","Lake Forest","Illinois",60045,"100 Grainger Pkwy., Lake Forest, Illinois",-87.911161,42.2363993
"Group 1 Automotive","800 Gessner Rd.","Houston","Texas",77024,"800 Gessner Rd., Houston, Texas",-95.5438873,29.7777447
"BB&T Corp.","200 W. Second St.","Winston-Salem","North Carolina",27101,"200 W. Second St., Winston-Salem, North Carolina",-80.245157,36.0956772
"Rock-Tenn","504 Thrasher St.","Norcross","Georgia",30071,"504 Thrasher St., Norcross, Georgia",-84.2196536,33.9370097
"Advance Auto Parts","5008 Airport Rd.","Roanoke","Virginia",24012,"5008 Airport Rd., Roanoke, Virginia",-79.9587893,37.3174377
"Ally Financial","200 Renaissance Center","Detroit","Michigan",48243,"200 Renaissance Center, Detroit, Michigan",-83.0392161,42.3292868
"AGCO","4205 River Green Pkwy.","Duluth","Georgia",30096,"4205 River Green Pkwy., Duluth, Georgia",-84.164369,34.0173639
"Corning","1 Riverfront Plaza","Corning","New York",14831,"1 Riverfront Plaza, Corning, New York",-77.0558167,42.1454133
"Biogen","225 Binney St.","Cambridge","Massachusetts",2142,"225 Binney St., Cambridge, Massachusetts",-71.0857637,42.3662897
"NGL Energy Partners","6120 S. Yale Ave.","Tulsa","Oklahoma",74136,"6120 S. Yale Ave., Tulsa, Oklahoma",-95.9255754,36.0722588
"Stryker","2825 Airview Blvd.","Kalamazoo","Michigan",49002,"2825 Airview Blvd., Kalamazoo, Michigan",-85.5553397,42.2428207
"Molina Healthcare","200 Oceangate","Long Beach","California",90802,"200 Oceangate, Long Beach, California",-118.2006675,33.7665116
"Precision Castparts","4650 S.W. Macadam Ave.","Portland","Oregon",97239,"4650 S.W. Macadam Ave., Portland, Oregon",-122.6729013,45.4891943
"Discover Financial Services","2500 Lake Cook Rd.","Riverwoods","Illinois",60015,"2500 Lake Cook Rd., Riverwoods, Illinois",-87.888717,42.1557684
"Genworth Financial","6620 W. Broad St.","Richmond","Virginia",23230,"6620 W. Broad St., Richmond, Virginia",-77.5133905,37.6029091
"Eastman Chemical","200 S. Wilcox Dr.","Kingsport","Tennessee",37660,"200 S. Wilcox Dr., Kingsport, Tennessee",-82.5508778,36.5354128
"Dean Foods","2711 N. Haskell Ave.","Dallas","Texas",75204,"2711 N. Haskell Ave., Dallas, Texas",-96.7917968,32.8065135
"AutoZone","123 S. Front St.","Memphis","Tennessee",38103,"123 S. Front St., Memphis, Tennessee",-90.0561333,35.1420009
"MasterCard","2000 Purchase St.","Purchase","New York",10577,"2000 Purchase St., Purchase, New York",-73.7148698,41.0228776
"Owens & Minor","9120 Lockwood Blvd.","Mechanicsville","Virginia",23116,"9120 Lockwood Blvd., Mechanicsville, Virginia",-77.4086668,37.6444916
"Hormel Foods","1 Hormel Place","Austin","Minnesota",55912,"1 Hormel Place, Austin, Minnesota",-92.9684034,43.6824203
"GameStop","625 Westport Pkwy.","Grapevine","Texas",76051,"625 Westport Pkwy., Grapevine, Texas",-97.0871601,32.9031308
